Fe,Ni,Cr,Temperature,Time,Mass Change
82,0,18,800,100.176,0.0980344
80,0,20,800,20.0683,0.115401
80,0,20,800,40.0664,0.112194
80,0,20,800,60.0654,0.1105
80,0,20,800,80.1727,0.0918619
80,0,20,800,100.039,0.0653558
90,0,10,650,20.2567,8.79147
90,0,10,650,40.4532,12.2474
90,0,10,650,60.1912,14.9809
90,0,10,650,80.038,17.37
90,0,10,650,100.328,19.1391
88,0,12,650,20.1301,7.55236
88,0,12,650,40.2175,11.3182
88,0,12,650,60.1769,13.7072
88,0,12,650,80.0217,15.9242
88,0,12,650,99.8622,17.7626
86,0,14,650,20.1293,7.48352
86,0,14,650,40.2168,11.2493
86,0,14,650,60.2872,13.5006
86,0,14,650,80.2384,15.1667
86,0,14,650,100.303,16.9016
84,0,16,650,20.1293,7.48352
84,0,16,650,40.2152,11.1117
84,0,16,650,60.1687,12.9843
84,0,16,650,80.3448,14.6158
84,0,16,650,100.408,16.213
82,0,18,650,20.0456,0.0481457
82,0,18,650,40.1788,7.87589
82,0,18,650,59.7906,9.40469
82,0,18,650,80.0742,10.5886
82,0,18,650,100.13,11.5317
80,0,20,650,19.8219,0.18607
80,0,20,650,40.0518,6.60236
80,0,20,650,60.1044,7.27012
80,0,20,650,80.0436,7.86915
80,0,20,650,99.9827,8.46818
